"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2032",4
"battery_2","p1","2034",2.2
"battery_2","p3","2030",1.2
"battery_2","p5","2030",5
"battery_2","p5","2038",30
"battery_2","p6","2038",0.625
"battery_2","p9","2040",2.44475924421249
"battery_2","p9","2042",0.0656568254294827
"battery_2","p10","2040",7.41552742154158
"battery_2","p10","2042",1.03785000000001
"battery_2","p10","2046",0.0400000000000063
"battery_2","p11","2040",7.6617837127455
"battery_2","p11","2042",81.5644227960709
"battery_2","p11","2044",0.0799999999999983
"battery_2","p13","2038",165
"battery_2","p13","2040",280
"battery_2","p18","2038",200
"battery_2","p24","2038",0.00424999999999986
"battery_2","p28","2034",12
"battery_2","p28","2036",10
"battery_2","p28","2038",498
"battery_2","p30","2034",20
"battery_2","p31","2028",2.6
"battery_2","p31","2034",1
"battery_2","p31","2038",52
"battery_2","p33","2034",5
"battery_2","p33","2036",1
"battery_2","p34","2038",225
"battery_2","p38","2034",0.8
"battery_2","p39","2044",4.50156123320028
"battery_2","p40","2044",40.2426993140584
"battery_2","p41","2038",0.102
"battery_2","p41","2044",27.0906030910555
"battery_2","p42","2050",44.2951030625643
"battery_2","p43","2034",15
"battery_2","p43","2050",0.691540425462785
"battery_2","p44","2030",1
"battery_2","p46","2050",0.309006511972963
"battery_2","p47","2048",99.2085624999784
"battery_2","p49","2044",67.0545507768926
"battery_2","p50","2036",10
"battery_2","p50","2038",0.3825
"battery_2","p51","2044",51.3856875
"battery_2","p52","2044",0.112851990116735
"battery_2","p53","2044",44.467546094698
"battery_2","p54","2028",1
"battery_2","p54","2038",4.5
"battery_2","p55","2034",1.2
"battery_2","p55","2048",1.1364375
"battery_2","p55","2050",2.58825
"battery_2","p58","2032",0.5
"battery_2","p59","2026",1
"battery_2","p60","2034",51.8
"battery_2","p60","2038",132
"battery_2","p61","2026",4
"battery_2","p62","2028",36
"battery_2","p62","2036",9.9
"battery_2","p62","2038",40
"battery_2","p63","2038",150
"battery_2","p64","2034",1.5
"battery_2","p64","2036",9.9
"battery_2","p65","2032",1
"battery_2","p65","2036",10
"battery_2","p65","2038",300
"battery_2","p66","2050",1.0397625
"battery_2","p67","2036",9.90000000000001
"battery_2","p67","2038",100
"battery_2","p68","2050",5.19435
"battery_2","p70","2034",1.1
"battery_2","p73","2038",4
"battery_2","p73","2050",31.1662336061638
"battery_2","p74","2050",0.0492989875877351
"battery_2","p76","2050",0.4395988996333
"battery_2","p80","2030",21.5
"battery_2","p80","2032",90.9
"battery_2","p80","2034",20
"battery_2","p80","2050",99.796102112779
"battery_2","p83","2034",0.3
"battery_2","p84","2050",0.569712499999962
"battery_2","p85","2038",10
"battery_2","p85","2050",0.405433752860992
"battery_2","p87","2050",2.95385764097529
"battery_2","p89","2034",1
"battery_2","p94","2032",1
"battery_2","p94","2036",2.69999999999999
"battery_2","p94","2038",80
"battery_2","p96","2034",4
"battery_2","p97","2036",8.8
"battery_2","p98","2034",1
"battery_2","p98","2050",91.56
"battery_2","p99","2038",186.935
"battery_2","p99","2040",178.93
"battery_2","p99","2042",178.935
"battery_2","p99","2044",145.306814105633
"battery_2","p99","2046",178.93
"battery_2","p99","2048",13.8703360350798
"battery_2","p99","2050",178.935
"battery_2","p101","2034",14
"battery_2","p101","2036",5
"battery_2","p101","2038",409
"battery_2","p101","2048",0.812174999999996
"battery_2","p102","2048",72.507825
"battery_2","p102","2050",14.62
"battery_2","p104","2034",1
"battery_2","p105","2024",1
"battery_2","p105","2026",1
"battery_2","p105","2050",116.717887998536
"battery_2","p106","2032",20
"battery_2","p106","2048",2.74581309892389
"battery_2","p107","2036",11
"battery_2","p108","2048",36.3452683623318
"battery_2","p109","2032",4
"battery_2","p109","2048",12.7847316376682
"battery_2","p109","2050",1.04
"battery_2","p111","2030",20
"battery_2","p112","2024",1
"battery_2","p112","2026",1
"battery_2","p112","2030",4
"battery_2","p112","2032",7
"battery_2","p113","2032",10
"battery_2","p113","2048",21.2003287205678
"battery_2","p114","2032",6
"battery_2","p114","2048",14.1538581805083
"battery_2","p114","2050",34.4821120014644
"battery_2","p116","2028",16
"battery_2","p116","2032",31.5
"battery_2","p117","2024",1
"battery_2","p117","2026",1
"battery_2","p118","2038",40
"battery_2","p118","2040",26.665
"battery_2","p118","2042",26.67
"battery_2","p118","2044",26.665
"battery_2","p118","2046",26.6650000000001
"battery_2","p118","2048",22.3516022182324
"battery_2","p118","2050",13.250007374647
"battery_2","p121","2032",5
"battery_2","p121","2034",2
"battery_2","p122","2030",2
"battery_2","p122","2032",28.4
"battery_2","p126","2032",1.5
"battery_2","p126","2034",20.7999999999999
"battery_2","p126","2036",19.8000000000001
"battery_2","p126","2038",251.096669601452
"battery_2","p126","2040",156.086794011415
"battery_2","p126","2042",156.075398425456
"battery_2","p126","2044",38.587203045319
"battery_2","p126","2046",78.2852043108438
"battery_2","p126","2050",11.1563268912024
"battery_2","p127","2026",7.99999999999997
"battery_2","p127","2034",2
"battery_2","p127","2036",33.9
"battery_2","p127","2038",297.0573482856
"battery_2","p127","2040",138.151435790012
"battery_2","p127","2042",208
"battery_2","p127","2044",146.247092863739
"battery_2","p128","2034",5
"battery_2","p128","2036",5
"battery_2","p128","2038",90
"battery_2","p128","2040",50
"battery_2","p128","2042",50
"battery_2","p128","2044",50
"battery_2","p129","2032",2
"battery_2","p129","2034",1
"battery_2","p129","2036",7.9
"battery_2","p131","2034",7.90000000000001
"battery_2","p131","2036",76
"battery_2","p131","2038",51.9
"battery_2","p132","2032",0.8
"battery_2","p132","2034",0.8
"battery_2","p133","2038",0.374909988684292
"battery_2","p134","2032",16.2
"battery_2","p134","2038",2.3
"battery_4","p1","2040",6.45574102526012
"battery_4","p2","2040",3.49157919734789
"battery_4","p2","2044",0.391948748490311
"battery_4","p6","2044",0.5697125
"battery_4","p6","2050",0.133877116950595
"battery_4","p7","2040",1.31651
"battery_4","p9","2028",1
"battery_4","p9","2030",3
"battery_4","p9","2034",0.25
"battery_4","p9","2036",306.2
"battery_4","p9","2038",326.9
"battery_4","p10","2028",0.5
"battery_4","p10","2032",50
"battery_4","p10","2034",16.65
"battery_4","p10","2036",25.5
"battery_4","p10","2038",400.4
"battery_4","p11","2028",0.5
"battery_4","p11","2030",1
"battery_4","p11","2032",1.50000000000001
"battery_4","p11","2034",39.75
"battery_4","p11","2036",126
"battery_4","p11","2038",41.25
"battery_4","p11","2048",1.45777183417344
"battery_4","p12","2044",16.0440909935525
"battery_4","p12","2046",54.8926952714032
"battery_4","p12","2048",86.8896766705035
"battery_4","p12","2050",51.2166003630283
"battery_4","p13","2046",1.80420300694687
"battery_4","p13","2048",3.08581874999998
"battery_4","p13","2050",38.1307131460988
"battery_4","p14","2046",0.06545
"battery_4","p16","2046",79.2700784813056
"battery_4","p16","2048",39.723664475061
"battery_4","p21","2044",0.959583058668414
"battery_4","p21","2046",40.0149828432862
"battery_4","p21","2048",101.224493918998
"battery_4","p21","2050",35.99973125
"battery_4","p22","2046",5.04310864290166
"battery_4","p23","2044",0.0371875
"battery_4","p23","2046",0.0580125
"battery_4","p23","2048",0.0674819988844379
"battery_4","p24","2044",0.0272000000000006
"battery_4","p24","2046",4.92139375
"battery_4","p24","2048",6.37765625
"battery_4","p25","2044",2.03785613443171
"battery_4","p25","2046",0.517650000000343
"battery_4","p25","2048",0.679145696902974
"battery_4","p26","2044",0.242682292987169
"battery_4","p26","2046",42.9053431409368
"battery_4","p27","2046",2.16994574311647
"battery_4","p28","2046",1.61816317962055
"battery_4","p29","2046",1.11449422810363
"battery_4","p30","2046",3.411582176217
"battery_4","p31","2044",156.52958432564
"battery_4","p31","2046",227.615063487583
"battery_4","p33","2044",16.6608021176377
"battery_4","p33","2046",34.5693974848707
"battery_4","p33","2048",27.0039455705025
"battery_4","p34","2046",12.4301891287563
"battery_4","p34","2048",20.2872687499995
"battery_4","p35","2046",0.0309461325966851
"battery_4","p37","2046",2.45550869252135
"battery_4","p40","2046",32.4749066437667
"battery_4","p40","2048",119.382374349985
"battery_4","p41","2046",112.59735923748
"battery_4","p41","2048",401.819431312013
"battery_4","p42","2038",0.0164932632084867
"battery_4","p42","2042",64.9007957102201
"battery_4","p42","2046",221.063884343976
"battery_4","p43","2038",0.755788779680355
"battery_4","p45","2046",453.38330625
"battery_4","p45","2048",338.611525
"battery_4","p45","2050",39.0033340914958
"battery_4","p46","2042",0.00257175187738193
"battery_4","p46","2046",0.067041157715262
"battery_4","p47","2048",25.4240850079021
"battery_4","p48","2048",362.04039375
"battery_4","p50","2048",19.4260331194347
"battery_4","p51","2048",26.7218594685645
"battery_4","p52","2040",0.598397746828184
"battery_4","p52","2046",3.04816919442241
"battery_4","p52","2048",41.65223125
"battery_4","p53","2048",60.8677562499997
"battery_4","p59","2044",0.468129216421479
"battery_4","p59","2046",0.18445
"battery_4","p59","2048",0.0668953616786306
"battery_4","p59","2050",0.0901023973660934
"battery_4","p60","2048",460.497221907063
"battery_4","p60","2050",9.77734581262696
"battery_4","p63","2044",0.0029231543094852
"battery_4","p63","2048",391.311977795534
"battery_4","p64","2042",1.57041936856797
"battery_4","p64","2050",385.808877109813
"battery_4","p65","2048",0.148954462084713
"battery_4","p65","2050",2.03152730591451
"battery_4","p66","2044",338.820357195089
